symbol,name,sector,sector_class,status,all_pass,manual_cash_check,g1_solvency,g3_margin_slope,g4_cfo_np,g5_roe_relative,g6_new_high,g7_fwd_pe,composite,cagr_score,yield_score,peg_score,cagr_3y_pct,dividend_yield_pct,peg,roe_3y_avg_pct,fwd_pe,price,mcap
TBN,TBN Corporation Public Company Limited,-,default,scanned,NO,N/A,YES,NO,NO,YES,NO,NO,27.1,0.0,90.34,0.0,,6.03,,30.28,69.17,3.48,348000000.0
TC,TROPICAL CANNING (THAILAND) PUBLIC COMPANY LIMITED,Food & Beverage,default,scanned,NO,N/A,YES,YES,NO,NO,NO,YES,25.07,0.0,83.57,0.0,-23.17,5.36,,7.45,8.77,5.6,1848000000.0
TCAP,THANACHART CAPITAL PUBLIC COMPANY LIMITED,Banking,bank,scanned,NO,N/A,YES,NA,NO,NO,YES,YES,55.16,54.16,89.57,22.09,14.08,5.96,0.442,9.62,7.34,58.75,61605555911.25
TCC,THAI CAPITAL CORPORATION PUBLIC COMPANY LIMITED,Energy & Utilities,default,scanned,NO,N/A,YES,NO,NO,NO,NO,NO,30.0,0.0,100.0,0.0,-40.88,7.58,,8.51,25.3,0.33,460531549.5
TCJ,T.C.J. ASIA PUBLIC COMPANY LIMITED,Industrial Materials & Machinery,default,scanned,NO,N/A,YES,NO,NA,NO,NO,NO,5.4,0.0,18.01,0.0,,1.03,,-1.24,314.0,2.38,251319279.68
TCMC,TCM CORPORATION PUBLIC COMPANY LIMITED,Home & Office Products,default,scanned,NO,N/A,NO,NO,NA,NO,NO,NA,30.0,0.0,100.0,0.0,,26.47,,-12.37,,0.34,259488382.5
TCOAT,THAI COATING INDUSTRIAL PUBLIC COMPANY LIMITED,Packaging,default,scanned,NO,N/A,YES,YES,NA,NO,NO,NO,40.1,0.0,33.65,100.0,-7.26,1.92,3.291,0.04,32.18,26.0,273000000.0
TEAM,TEAM PRECISION PUBLIC COMPANY LIMITED,Electronic Components,default,scanned,NO,N/A,YES,NO,YES,YES,NO,YES,61.8,13.4,88.14,100.0,3.48,5.81,2.954,23.24,10.29,3.44,2191498044.4
TEAMG,TEAM CONSULTING ENGINEERING AND MANAGEMENT PUBLIC COMPANY LIMITED,Construction Services,default,scanned,NO,N/A,NO,YES,YES,NO,YES,YES,48.95,44.08,78.33,26.07,11.46,4.83,0.521,11.39,10.0,2.76,2257408465.68
TEGH,Thai Eastern Group Holdings Public Company Limited,Agribusiness,default,scanned,NO,N/A,NO,NO,YES,YES,NO,YES,28.41,0.0,94.71,0.0,-7.96,6.47,,12.38,4.83,3.4,3672000000.0
